鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
北屯區,房地(土地+建物),臺中市北屯區崇德路二段271~300號,7.8,住,,,1071204,土地1建物1車位0,十六層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,870417.0,99.01,3,2,1,有,有,5300000,53530.0,,0.0,0,,RPVNMLPJJHOFFBB97CA
北屯區,房地(土地+建物)+車位,臺中市北屯區松竹五路二段181~210號,16.47,住,,,1071125,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020927.0,156.11,3,2,2,有,有,8380000,56617.0,坡道平面,25.76,1000000,,RPOQMLLKJHOFFBB27CA
北屯區,房地(土地+建物)+車位,臺中市北屯區軍福七路151~180號,28.32,住,,,1071118,土地1建物1車位2,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031106.0,250.64,4,2,2,有,有,15400000,61443.0,坡道平面,55.06,0,,RPRSMLLKJHOFFBB77CA
西屯區,房地(土地+建物),臺中市西屯區皇城街1~30號,33.4,住,,,1071206,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,961226.0,211.39,4,2,2,有,有,500000,2365.0,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPOPMLNJJHOFFCB37CA
西屯區,房地(土地+建物)+車位,臺中市西屯區永福路31~60號,13.38,住,,,1071207,土地2建物1車位1,十二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830106.0,127.74,3,2,2,有,有,7300000,57147.0,坡道機械,0.0,0,,RPROMLOJJHOFFCB67CA
西屯區,房地(土地+建物)+車位,臺中市西屯區東大路一段391~420號,15.97,住,,,1071120,土地1建物2車位1,四層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840121.0,180.22,4,2,2,有,有,6800000,37732.0,坡道機械,0.0,0,,RPTNMLLKJHOFFCB57CA
南屯區,房地(土地+建物)+車位,臺中市南屯區忠勇路31~60號,9.96,住,,,1071211,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021017.0,106.4,2,2,1,有,有,6500000,61090.0,坡道平面,0.0,0,,RPSNMLOKJHOFFCB77CA
南屯區,房地(土地+建物)+車位,臺中市南屯區文心南五路一段301~330號,23.38,商,,,1071211,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,890316.0,141.62,4,2,2,有,有,11500000,81203.0,坡道機械,8.27,0,,RPRPMLQKJHOFFCB08CA
南屯區,房地(土地+建物)+車位,臺中市南屯區文山六街181~210號,26.6,住,,,1071105,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021024.0,166.33999999999997,3,2,2,有,有,11980000,72021.0,坡道平面,23.48,0,,RPPPMLQLJHOFFCB97CA
西屯區,房地(土地+建物)+車位,臺中市西屯區市政北三路121~150號,46.08,其他,,,1071030,土地1建物1車位2,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,941230.0,438.25,3,2,2,有,有,59500000,135767.0,坡道平面,83.54,0,,RPUOMLQKJHOFFCB38DA
