鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
東區,房地(土地+建物),臺中市東區忠孝路393巷11弄1~30號,72.33,住,,,1071125,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1030217,224.7,4,3,5,有,無,17300000,76992,,0.0,0,,RPOQMLMJJHOFFAB17CA
西區,房地(土地+建物),臺中市西區三民路一段50巷1~30號,2.76,商,,,1071222,土地2建物1車位0,十一層,十九層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840113,35.82,0,0,0,無,無,1200000,33501,,0.0,0,,RPWNMLNJJHOFFAB77CA
南區,房地(土地+建物),臺中市南區大忠南街151~180號,19.96,住,,,1071218,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870403,116.46000000000001,2,1,2,有,有,5100000,43792,,0.0,0,,RPOPMLNJJHOFFAB17CA
西區,房地(土地+建物),臺中市西區公益路91~120號,3.2,住,,,1071206,土地2建物1車位0,四層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830714,29.630000000000003,1,1,1,有,有,1670000,56362,,0.0,0,,RPPPMLNJJHOFFAB27CA
南區,房地(土地+建物)+車位,臺中市南區南和一街16巷1~30號,29.47,住,,,1071123,土地1建物1車位1,一層，二層，三層,十二層,店面(店鋪),住商用,鋼筋混凝土造,0830718,172.35,2,1,3,有,有,6200000,35975,坡道機械,0.0,600000,含增建或未登記建物。,RPSPMLNJJHOFFAB57CA
東區,土地,東勢子段1~30地號,1460.0,住,,,1071102,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,141134400,96667,,0.0,0,,RPWOMLOJJHOFFAB97CA
南區,房地(土地+建物)+車位,臺中市南區復興北路801巷61~90號,24.38,住,,,1071207,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070223,129.17000000000002,2,1,1,有,有,8350000,66667,坡道平面,24.17,1350000,,RPWPMLOJJHOFFAB08CA
南區,房地(土地+建物)+車位,臺中市南區工學路155巷1~30號,27.04,住,,,1071122,土地1建物1車位2,五層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050328,175.55,3,2,2,有,有,11150000,68110,坡道機械,32.4,1400000,,RPUNMLPJJHOFFAB77CA
南區,房地(土地+建物)+車位,臺中市南區臺中路541~570號,15.08,住,,,1071206,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0961030,107.08000000000001,2,2,1,有,有,6700000,65683,坡道平面,20.3,1000000,含增建或未登記建物。,RPVNMLPJJHOFFAB87CA
東區,房地(土地+建物),臺中市東區精武路134巷1~30號,228.0,住,,,1071004,土地1建物2車位0,全,二層,透天厝,見其他登記事項,見其他登記事項,0600609,161.5,5,2,2,有,無,17600000,108978,,0.0,0,,RPOPMLRJJHOFFAB57CA
南區,土地,半平厝段1411~1440地號,831.5,其他,,,1071221,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,44880000,53975,,0.0,0,位於台中市第十三期大慶市地重劃範圍內之公共設施保留地,RPVPMLRJJHOFFAB28CA
南區,房地(土地+建物)+車位,臺中市南區五權南一路31~60號,17.39,住,,,1071125,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010528,165.62,3,2,2,有,有,10200000,67757,坡道平面,29.84,1000000,,RPTRMLRJJHOFFAB28CA
中區,房地(土地+建物),臺中市中區公園路31~60號,3.51,商,,,1071221,土地2建物1車位0,六層,十一層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0701231,26.64,1,1,1,有,有,800000,30030,,0.0,0,房屋包括現有增設及器具等一併在內。,RPXNMLSJJHOFFAB38CA
中區,房地(土地+建物),臺中市中區公園路31~60號,3.51,商,,,1071211,土地2建物1車位0,十一層,十一層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0701231,28.380000000000003,1,0,1,有,有,1080000,38055,,0.0,0,,RPQOMLSJJHOFFAB77CA
南區,土地,頂橋子頭段301~330地號,339.0,住,,,1071025,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13331175,39325,,0.0,0,,RPQNMLTJJHOFFAB77CA
東區,房地(土地+建物)+車位,臺中市東區自由路三段31~60號,15.71,住,,,1071117,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0880210,152.15,4,2,2,有,有,5500000,36149,升降平面,4.54,0,,RPPPMLTJJHOFFAB87CA
東區,土地,頂橋子頭段1~30地號,123.0,住,,,1071221,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11000000,89431,,0.0,0,,RPQNMLLKJHOFFAB07CA
東區,房地(土地+建物),臺中市東區一心街331~360號,92.28,住,,,1071110,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0960301,230.79,3,3,4,有,有,17500000,75827,,0.0,0,含增建或未登記建物。,RPUOMLLKJHOFFAB57CA
南區,房地(土地+建物),臺中市南區工學一街179巷1~30號,7.1,住,,,1071214,土地1建物1車位0,一層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0870930,42.12,1,1,1,有,有,2760000,65527,,0.0,0,,RPWPMLLKJHOFFAB87CA
南區,房地(土地+建物),臺中市南區復興路一段121~150號,1300.0,工,,,1071031,土地1建物2車位0,一層,一層,廠辦,工業用,見其他登記事項,0600226,642.02,0,0,0,無,無,118500000,184574,,0.0,0,,RPQNMLOKJHOFFAB37CA
西區,房地(土地+建物),臺中市西區向上路一段31~60號,197.0,商,,,1071210,土地2建物1車位0,全,一層,透天厝,住家用,木造,,67.77,0,0,0,無,無,29070000,428951,,0.0,0,,RPRNMLPKJHOFFAB57CA
西區,房地(土地+建物)+車位,臺中市西區臺灣大道二段241~270號,16.36,商,,,1040114,土地1建物1車位1,二十二層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070910,184.65,3,2,2,有,有,19200000,113747,坡道平面,29.92,1600000,,RPOOMLPKJHOFFAB37CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,14.82,商,,,1061218,土地2建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,105.25,2,2,1,有,有,7110000,76760,坡道機械,20.18,580000,,RPROMLRKJHOFFAB87CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,14.82,商,,,1061216,土地2建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,105.25,2,2,1,有,有,6800000,73116,坡道機械,20.18,580000,,RPSOMLRKJHOFFAB97CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,18.91,商,,,1070403,土地2建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,134.01999999999998,2,2,1,有,有,8080000,71045,坡道平面,37.18,1200000,,RPTOMLRKJHOFFAB08CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,25.43,商,,,1070209,土地2建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,180.39,3,2,2,有,有,11000000,72262,坡道平面,44.08,1150000,,RPUOMLRKJHOFFAB18CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,18.68,商,,,1070303,土地2建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,132.39,2,2,1,有,有,7850000,72810,坡道平面,40.37,1150000,,RPWOMLRKJHOFFAB38CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,22.61,商,,,1061007,土地2建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,160.38,2,2,2,有,有,9830000,71911,坡道平面,40.37,1200000,,RPQPMLRKJHOFFAB87CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,16.49,商,,,1060811,土地2建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,117.12,2,2,1,有,有,7800000,73241,坡道機械,20.18,700000,,RPSPMLRKJHOFFAB08CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,15.81,商,,,1070119,土地2建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,112.21000000000001,2,2,1,有,有,7300000,72259,坡道機械,20.18,650000,,RPTPMLRKJHOFFAB18CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,22.61,商,,,1060824,土地2建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,160.38,2,2,2,有,有,9890000,72411,坡道平面,40.37,1200000,,RPUPMLRKJHOFFAB28CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,16.49,商,,,1060714,土地2建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,117.12,2,2,1,有,有,7800000,73241,坡道機械,20.18,700000,,RPVPMLRKJHOFFAB38CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,24.72,商,,,1070506,土地2建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,175.47,3,2,2,有,有,10880000,71281,坡道平面,40.37,1250000,,RPWPMLRKJHOFFAB48CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,24.72,商,,,1070213,土地2建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,175.47,3,2,2,有,有,11000000,72909,坡道平面,40.37,1150000,,RPXPMLRKJHOFFAB58CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,24.9,商,,,1061127,土地2建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,176.68,3,2,2,有,有,11220000,73509,坡道平面,40.37,1200000,,RPOQMLRKJHOFFAB77CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,18.68,商,,,1061023,土地2建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,132.39,2,2,1,有,有,7900000,72810,坡道平面,40.37,1200000,,RPPQMLRKJHOFFAB87CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,22.61,商,,,1060831,土地2建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,160.38,2,2,2,有,有,9500000,69578,坡道平面,40.37,1150000,,RPQQMLRKJHOFFAB97CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,24.9,商,,,1061209,土地2建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,176.68,3,2,2,有,有,11360000,74169,坡道平面,40.37,1250000,,RPRQMLRKJHOFFAB08CA
南區,房地(土地+建物)+車位,臺中市南區建成路1621~1650號,22.61,商,,,1060827,土地2建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,160.38,2,2,2,有,有,10200000,74160,坡道平面,40.37,1300000,,RPTQMLRKJHOFFAB28CA
