鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
鹽埕區,房地(土地+建物),高雄市鹽埕區大智路91~120號,54.0,商,,,1071130,土地3建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0870624,134.06,2,1,2,有,無,5500000,41026,,0.0,0,,RPRPMLMJJHOFFAE67CA
鹽埕區,房地(土地+建物),高雄市鹽埕區府北路1~30號,4.4,商,,,1071222,土地3建物1車位0,十層,十二層,套房(1房1廳1衛),,鋼筋混凝土造,0681218,47.75,1,1,1,有,有,1300000,27225,,0.0,0,,RPVPMLMJJHOFFAE08CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區明誠三路661~690號,14.46,商,,,1071202,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931006,139.17,4,2,2,有,有,7800000,56047,坡道機械,8.89,0,,RPWNMLNJJHOFFAE08CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區篤敬路31~60號,16.85,商,,,1071130,土地1建物3車位1,十七層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841129,226.09000000000003,5,2,2,有,有,12350000,54624,坡道平面,0.0,0,,RPTOMLNJJHOFFAE87CA
前金區,房地(土地+建物),高雄市前金區中山橫路121~150號,6.98,商,,,1071207,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980217,79.28,2,2,1,有,有,4800000,60545,,0.0,0,,RPTNMLPJJHOFFAE97CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍德路361~390號,11.55,商,,,1071209,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950602,158.76,3,2,2,有,有,10470000,66622,坡道平面,24.12,1500000,,RPTNMLKKJHOFFAE57CA
前金區,房地(土地+建物),高雄市前金區仁德街181~210號,84.0,商,,,1071113,土地1建物1車位0,全,三層,透天厝,,加強磚造,0600929,208.11,6,2,4,有,無,8005824,38469,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPQOMLLKJHOFFAE47CA
前金區,房地(土地+建物),高雄市前金區中正四路211~240號,11.1,商,,,1071207,土地2建物1車位0,二十二層,二十五層,辦公商業大樓,商業用,鋼骨混凝土造,0841122,199.63,3,1,0,有,有,9800000,49091,,0.0,0,建物交易總價已含稅,RPVNMLQKJHOFFAE38CA
鹽埕區,建物,高雄市鹽埕區府北路31~60號,0.0,,,,1071225,土地0建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0700114,27.78,0,0,0,無,無,150000,5400,,0.0,0,,RPTOMLOLJHOFFAE18CA
苓雅區,房地(土地+建物),高雄市苓雅區尚義街151~180號,4.56,住,,,1071120,土地1建物1車位0,六層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0821207,37.47,1,1,1,有,有,1660000,44302,,0.0,0,,RPTPMLMJJHOFFBE97CA
苓雅區,房地(土地+建物)+車位,高雄市苓雅區光明街61~90號,8.03,住,,,1071114,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960508,91.88,2,1,1,有,有,6000000,65303,坡道機械,6.92,0,,RPPNMLOJJHOFFBE57CA
苓雅區,房地(土地+建物),高雄市苓雅區仁義街1~30號,9.37,商,,,1071207,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930303,83.11,2,2,1,有,有,5600000,67381,,0.0,0,,RPROMLNJJHOFFBE77CA
苓雅區,房地(土地+建物),高雄市苓雅區建國一路61~90號,29.12,商,,,1071212,土地1建物1車位0,一層，二層，騎樓，夾層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0681011,95.52,3,2,2,有,無,8430000,88254,,0.0,0,,RPWNMLOKJHOFFBE38CA
苓雅區,房地(土地+建物),高雄市苓雅區福德三路25巷31~60號,61.0,住,,,1071213,土地1建物1車位0,全,二層,透天厝,,加強磚造,0610419,69.44,3,2,2,有,無,4880000,70276,,0.0,0,含增建或未登記建物。;,RPRNMLQKJHOFFBE08CA
新興區,房地(土地+建物),高雄市新興區復興一路61~90號,6.75,商,,,1071213,土地1建物1車位0,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041023,78.46000000000001,2,1,1,有,有,6150000,78384,,0.0,0,含裝潢.,RPPNMLRKJHOFFBE97CA
前鎮區,房地(土地+建物)+車位,高雄市前鎮區鄭和南路331~360號,7.35,商,,,1071205,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941228,103.66,2,1,1,有,有,6680000,64441,坡道平面,0.0,0,,RPQOMLNJJHOFFCE77CA
前鎮區,房地(土地+建物),高雄市前鎮區和隆街2巷31~60號,48.05,住,,,1071211,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0590621,67.62,2,2,2,有,無,1700000,25140,,0.0,0,,RPRNMLOJJHOFFCE87CA
前鎮區,房地(土地+建物),高雄市前鎮區一心二路31~60號,3.17,住,,,1071218,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790720,38.94,1,0,1,有,有,1200000,30817,,0.0,0,,RPOOMLOJJHOFFCE67CA
小港區,房地(土地+建物),高雄市小港區中安路451~480號,29.51,商,,,1071212,土地1建物1車位0,一層，二層，騎樓,八層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0830902,172.53,3,1,2,有,有,6220000,36052,,0.0,0,,RPQNMLRJJHOFFCE08CA
小港區,房地(土地+建物)+車位,高雄市小港區永順街151~180號,10.48,商,,,1071217,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1060809,156.42000000000002,3,2,2,有,有,8000000,51144,坡道平面,22.69,0,,RPTNMLTJJHOFFCE58CA
前鎮區,房地(土地+建物),高雄市前鎮區瑞忠街121~150號,26.79,住,,,1071206,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0740109,106.27000000000001,3,2,2,有,無,2000000,18820,,0.0,0,,RPQOMLLKJHOFFCE67CA
前鎮區,房地(土地+建物),高雄市前鎮區翠亨北路399巷1~30號,14.28,商,,,1071130,土地1建物1車位0,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861119,109.08,3,2,2,有,有,5000000,45838,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPXNMLPKJHOFFCE68CA
三民區,房地(土地+建物),高雄市三民區建工路433巷1~30號,23.6,商,,,1071211,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0690206,80.62,3,2,2,有,無,5300000,65741,,0.0,0,,RPPNMLNJJHOFFDE67CA
三民區,房地(土地+建物),高雄市三民區大德街146巷1~30號,26.6,住,,,1071217,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0750825,84.57,3,2,2,有,無,3250000,38430,,0.0,0,,RPPNMLRJJHOFFDE08CA
三民區,土地,新都段1~30地號,76.72,住,,,1071217,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6521200,85000,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSNMLOJJHOFFDE08CA
三民區,房地(土地+建物)+車位,高雄市三民區義華路1~30號,34.16,住,,,1071123,土地1建物1車位2,十四層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1050901,352.65999999999997,3,2,3,有,有,29300000,92841,坡道平面,69.38,3000000,,RPTPMLPKJHOFFDE58CA
三民區,房地(土地+建物),高雄市三民區皓東路142巷1~30號,24.06,商,,,1071205,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0750508,88.28,3,2,2,有,無,3600000,40779,,0.0,0,全新整修,RPQNMLTKJHOFFDE48CA
左營區,房地(土地+建物),高雄市左營區裕誠路421~450號,6.58,商,,,1071204,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841222,72.28999999999999,2,2,1,有,有,3350000,46341,,0.0,0,,RPSOMLNJJHOFFEE18CA
楠梓區,房地(土地+建物),高雄市楠梓區新昌街40巷1~30號,82.0,住,,,1071217,土地1建物1車位0,全,四層,透天厝,,鋼筋混凝土造,0761028,211.19,5,3,4,有,無,9450000,44746,,0.0,0,,RPQNMLOJJHOFFEE97CA
楠梓區,房地(土地+建物),高雄市楠梓區加昌路61~90號,8.21,住,,,1071210,土地1建物1車位0,十五層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1041112,87.99000000000001,2,1,1,有,有,5800000,65917,,0.0,0,,RPWNMLOJJHOFFEE58CA
楠梓區,房地(土地+建物),高雄市楠梓區加昌路61~90號,8.21,住,,,1071207,土地1建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1041112,88.0,2,1,1,有,有,5380000,61136,,0.0,0,,RPOOMLOJJHOFFEE87CA
