鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
板橋區,房地(土地+建物)+車位,新北市板橋區三民路二段245巷31~60號,11.69,住,,,1071121,土地1建物1車位1,一層,六層,華廈(10層含以下有電梯),商業用,鋼骨鋼筋混凝土造,0830510,55.2,1,1,1,有,有,8500000,153986,升降機械,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTOMLMJJHOFFAF87CA
板橋區,土地,中興段121~150地號,2.48,其他,,,1071216,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,280000,112903,,0.0,0,出賣人急售,RPRNMLNJJHOFFAF67CA
板橋區,土地,中興段121~150地號,1.87,其他,,,1071216,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,106952,,0.0,0,出賣人急售,RPSNMLNJJHOFFAF77CA
板橋區,土地,中興段121~150地號,1.87,其他,,,1071216,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,106952,,0.0,0,出賣人急售,RPTNMLNJJHOFFAF87CA
板橋區,房地(土地+建物),新北市板橋區民生路二段226巷1~30號,20.93,住,,,1071113,土地1建物1車位0,一層,七層,店面(店鋪),見其他登記事項,鋼筋混凝土造,0880114,105.62,0,0,1,有,有,18600000,176103,,0.0,0,含增建或未登記建物。,RPUNMLNJJHOFFAF97CA
土城區,房地(土地+建物),新北市土城區立德路91~120號,8.29,其他,,,1071022,土地2建物1車位0,七層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871123,115.5,3,2,2,有,有,11350000,98268,,0.0,0,,RPOOMLNJJHOFFAF47CA
板橋區,房地(土地+建物),新北市板橋區中山路一段1~30號,2.83,商,,,1071201,土地1建物1車位0,七層,二十三層,套房(1房1廳1衛),見其他登記事項,鋼骨鋼筋混凝土造,0900216,35.2,0,1,1,有,有,5200000,147727,,0.0,0,,RPROMLNJJHOFFAF77CA
土城區,土地,大巒段391~420地號,55.83,其他,,,1071122,土地8建物0車位0,,,其他,,,,0.0,0,0,0,有,無,765000,13702,,0.0,0,包含公共設施保留地之交易。;,RPPPMLNJJHOFFAF67CA
板橋區,房地(土地+建物)+車位,新北市板橋區金門街297巷1~30號,20.0,住,,,1071204,土地1建物1車位1,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831123,139.98000000000002,3,2,2,有,有,9850000,70367,坡道平面,0.0,0,陽台外推,RPPPMLOJJHOFFAF77CA
板橋區,房地(土地+建物),新北市板橋區漢生東路193巷64弄1~30號,30.64,住,,,1071123,土地1建物1車位0,四層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690915,97.69,3,2,2,有,無,10800000,110554,,0.0,0,共有人數2人。含增建或未登記建物。,RPSNMLOJJHOFFAF87CA
板橋區,土地,大庭段1~30地號,30.0,其他,,,1071220,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3809700,126990,,0.0,0,包含公共設施保留地之交易。;,RPRPMLSJJHOFFAF38CA
板橋區,房地(土地+建物),新北市板橋區中山路二段89巷1~30號,21.53,住,,,1071211,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870914,100.39,5,2,2,有,有,12700000,126507,,0.0,0,,RPUOMLLKJHOFFAF97CA
板橋區,土地,光華段241~270地號,13.22,住,,,1071226,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3600000,272315,,0.0,0,,RPXOMLLKJHOFFAF28CA
板橋區,房地(土地+建物),新北市板橋區中山路二段416巷38弄1~30號,28.72,住,,,1071127,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750514,111.17999999999999,3,2,2,有,無,10600000,95341,,0.0,0,含增建或未登記建物。;,RPTPMLLKJHOFFAF97CA
板橋區,房地(土地+建物)+車位,新北市板橋區合安一路121~150號,25.39,住,,,1060504,土地1建物1車位1,八層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040209,179.47000000000003,3,2,2,有,有,9604756,55219,坡道平面,31.97,1460000,向政府機關承購之案件。;,RPVNMLOKJHOFFAF28CA
板橋區,房地(土地+建物),新北市板橋區中正路379巷1弄1~30號,22.4,住,,,1071123,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710817,84.15,3,1,2,有,無,7400000,87938,,0.0,0,含增建或未登記建物。;,RPOOMLNLJHOFFAF67CA
土城區,房地(土地+建物),新北市土城區中央路四段31~60號,8.5,住,,,1071023,土地1建物1車位0,三層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880610,96.10000000000001,3,2,2,有,有,7100000,73881,,0.0,0,,RPUSMLNLJHOFFAF68CA
新莊區,房地(土地+建物)+車位,新北市新莊區建興街61~90號,14.36,住,,,1071104,土地1建物1車位1,十三層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020718,129.91,2,1,2,有,有,15600000,120083,升降平面,29.64,0,含增建或未登記建物。,RPVNMLNJJHOFFBF18CA
五股區,房地(土地+建物),新北市五股區成泰路三段577巷121~150號,18.6,住,,,1071221,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841108,114.67999999999999,3,2,2,有,有,6800000,59295,,0.0,0,,RPXNMLNJJHOFFBF38CA
五股區,房地(土地+建物)+車位,新北市五股區成泰路三段221巷31~60號,19.2,住,,,1071126,土地1建物1車位1,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880529,143.9,3,2,2,有,有,8600000,59764,坡道平面,33.19,0,,RPPOMLNJJHOFFBF67CA
