鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
桃園區,房地(土地+建物)+車位,桃園市桃園區溫州一路271~300號,52.89,住,,,1071212,土地1建物1車位2,九層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070126,384.93,4,2,3,有,有,37840000,106190,坡道平面,56.84,3000000,,RPSNMLNJJHOFFAH97CA
桃園區,房地(土地+建物),桃園市桃園區勇一街21巷1~30號,30.0,住,,,1071119,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700710,94.48,3,2,1,有,無,3000000,31753,,0.0,0,,RPTNMLNJJHOFFAH08CA
桃園區,房地(土地+建物)+車位,桃園市桃園區大興西路二段31~60號,18.01,住,,,1071128,土地1建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850713,133.15,4,2,2,有,有,8600000,64589,坡道平面,0.0,0,,RPWNMLNJJHOFFAH38CA
桃園區,房地(土地+建物),桃園市桃園區五福三街31~60號,68.0,住,,,1071115,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1060426,142.66,3,2,4,有,無,6800000,47666,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPRPMLNJJHOFFAH08CA
桃園區,房地(土地+建物)+車位,桃園市桃園區國際路二段121~150號,14.58,住,,,1071211,土地1建物1車位1,十三層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841212,157.5,4,2,2,有,有,6700000,42540,坡道平面,0.0,0,含增建或未登記建物。;,RPVQMLNJJHOFFAH58CA
桃園區,房地(土地+建物)+車位,桃園市桃園區國強十街61~90號,20.28,住,,,1071220,土地1建物1車位2,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070611,167.35000000000002,2,1,2,有,有,10790000,64476,坡道平面,47.61,0,受債權債務影響或債務抵償之交易。;,RPRNMLOJJHOFFAH97CA
桃園區,房地(土地+建物),桃園市桃園區大華八街1~30號,20.8,住,,,1071208,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730601,86.64,3,2,1,有,無,3500000,40397,,0.0,0,,RPPOMLOJJHOFFAH87CA
桃園區,車位,桃園市桃園區敬二街1~30號,1.62,住,,,1071217,土地0建物0車位1,地下一層,十七層,其他,見其他登記事項,鋼筋混凝土造,0830713,39.11,0,0,0,有,無,1300000,,坡道平面,0.0,1300000,,RPRPMLOJJHOFFAH18CA
桃園區,房地(土地+建物)+車位,桃園市桃園區桃鶯路331~360號,10.74,商,,,1071113,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061106,122.74,2,2,1,有,有,9560000,85253,坡道平面,31.13,1750000,,RPPNMLPJJHOFFAH87CA
